id	lila_id	Headword 	Definition 	Part of Speech 	Semantic Group 	Frequency Rank
DCC129	lilaLemma:121322	quisquis quidquid 	whoever, whichever 	Pronoun 	Pronouns/Interrogatives 	129
DCC130	lilaIpoLemma:110488	vōs 	"you (pl.); (gen.) vestrum/vestrī, (dat./abl.) vōbīs, (acc.) vōs "	Adjective: 1st and 2nd Declension	Pronouns/Interrogatives 	130
DCC131	lilaLemma:92686	capiō capere cēpī captum 	seize 	Verb: 3rd Conjugation -iō	War and Peace 	131
DCC132	lilaLemma:121166	quia 	because 	Conjunction 	Conjunctions/Adverbs 	132
DCC133	lilaLemma:100196	dūcō dūcere dūxī ductum 	"lead; uxōrem dūcere, marry "	Verb: 3rd Conjugation -ō	Verbs of Compelling/Directing 	133
DCC134	lilaLemma:101415	ergō 	therefore 	Conjunction 	Conjunctions/Adverbs 	134
DCC135	lilaLemma:113797	nōmen -inis n. 	name 	Noun: 3rd Declension	Social Life 	135
DCC136	lilaLemma:121168	quidem 	certainly, at least 	Adverb 	Conjunctions/Adverbs 	136
DCC137	lilaLemma:112452	miser misera miserum 	wretched, pitiable 	Adjective: 1st and 2nd Declension	Emotions 	137
DCC138	lilaLemma:103696	fortūna -ae f. 	fortune 	Noun: 1st Declension	Religion 	138
DCC139	lilaLemma:113900	novus -a -um 	new 	Adjective: 1st and 2nd Declension	Time 	139
DCC140	lilaLemma:104903	gravis -e 	heavy, serious 	Adjective: 3rd Declension	Measurement 	140
DCC141	lilaLemma:129695	vel 	"or else, or; even; vel ... vel: either … or "	Conjunction 	Conjunctions/Adverbs 	141
DCC142	lilaLemma:110796	longus -a -um 	long, far 	Adjective: 1st and 2nd Declension	Measurement 	142
DCC143	lilaLemma:116136	parvus -a -um 	small 	Adjective: 1st and 2nd Declension	Measurement 	143
DCC144	lilaLemma:122569	relinquō -linquere -līquī -lictum 	abandon 	Verb: 3rd Conjugation -ō	Motion 	144
DCC145	lilaLemma:123106	saepe 	often 	Adverb 	Time 	145
DCC146	lilaLemma:103328	fīō fierī factus sum 	become, happen, be done 	Verb: Irregular 	Life and Being 	146
DCC147	lilaLemma:115327	ōs ōris n. 	mouth, face 	Noun: 3rd Declension	The Body 	147
DCC148	lilaLemma:88457	alter altera alterum 	other of two 	Adjective: 1st and 2nd Declension	Measurement 	148
DCC149	lilaLemma:124294	semper 	always, ever 	Adverb 	Time 	149
DCC150	lilaLemma:98386	deinde/dein 	then, next 	Adverb 	Time 	150
DCC151	lilaLemma:106156	ignis -is m. 	fire 	Noun: 3rd Declension	Air and Fire 	151
DCC152	lilaLemma:113289	modo 	"just, just now; modo ... modo: now ... now, at one moment ... at another, sometimes ... sometimes "	Adverb 	Time 	152
DCC153	lilaLemma:128264	timeō -ēre -uī 	to fear, to dread 	Verb: 2nd Conjugation	Emotions 	153
DCC154	lilaLemma:123667	scelus -eris n. 	crime, sin 	Noun: 3rd Declension	Justice 	154
DCC155	lilaLemma:97963	dēbeō dēbēre dēbuī dēbitum 	owe, be obliged 	Verb: 2nd Conjugation	Business/Money 	155
DCC156	lilaLemma:130476	vīvō vīvere vīxī vīctum 	live 	Verb: 3rd Conjugation -ō	Life and Being 	156
DCC157	lilaLemma:103575	fātum -ī n. 	"fate; death "	Noun: 2nd Declension	Religion 	157
DCC158	lilaLemma:130729	vocō -āre 	call 	Verb: 1st Conjugation	Speech/Oratory 	158
DCC159	lilaIpoLemma:1781	altus -a -um 	"high, lofty; deep "	Adjective: 1st and 2nd Declension	Geography 	159
DCC160	lilaLemma:116061	parō -āre 	"prepare, acquire; parātus -a -um, ready "	Verb: 1st Conjugation	Making/Doing 	160
DCC161	lilaLemma:112318	mīles -itis m. 	soldier 	Noun: 3rd Declension	War and Peace 	161
DCC162	lilaLemma:111841	medius -a -um 	middle, central 	Adjective: 1st and 2nd Declension	Place 	162
DCC163	lilaLemma:108033	inquam, inquis, inquit, inquiunt: 	say (used with direct speech) 	Verb: Irregular 	Speech/Oratory 	163
DCC164	lilaLemma:118572	post 	after (adv. and prep. +acc.) 	Preposition 	Time 	164
DCC165	lilaLemma:90641	audiō -īre -īvī/-iī -ītum 	hear, listen to 	Verb: 4th Conjugation	Other Senses 	165
DCC166	lilaLemma:120610	putō -āre 	think, suppose 	Verb: 1st Conjugation	Education/Knowledge 	166
DCC167	lilaLemma:89129	annus -ī m. 	year 	Noun: 2nd Declension	Lengths of Time 	167
DCC168	lilaLemma:124554	stō stāre stetī statum 	stand 	Verb: 1st Conjugation	Life and Being 	168
DCC169	lilaLemma:130806	vōx vōcis f. 	voice, utterance 	Noun: 3rd Declension	Speech/Oratory 	169
DCC170	lilaLemma:104504	genus generis n. 	origin, lineage, kind 	Noun: 3rd Declension	The Household 	170
DCC171	lilaLemma:122494	referō referre rettulī relātum 	"bring back; report "	Verb: Irregular 	Verbs of Transport 	171
DCC172	lilaLemma:123732	sciō -īre -īvī/-iī -ītum 	know 	Verb: 4th Conjugation	Education/Knowledge 	172
DCC173	lilaLemma:112038	mēns mentis f. 	mind 	Noun: 3rd Declension	The Body 	173
DCC174	lilaLemma:122458	reddō -dere -didī -ditum 	return, give back 	Verb: 3rd Conjugation -ō	Verbs of Transport 	174
DCC175	lilaLemma:110432	licet licēre licuit licitum est 	it is permitted (+ dat. + infin.) 	Verb: Impersonal 	Justice 	175
DCC176	lilaLemma:125109	sōlus -a -um 	only, alone 	Adjective: 1st and 2nd Declension	Measurement 	176
DCC177	lilaLemma:103923	fugiō fugere fūgī fugitum 	flee, escape 	Verb: 3rd Conjugation -iō	Travel 	177
DCC178	lilaLemma:130494	ūllus -a -um 	any, anyone 	Adjective: 1st and 2nd Declension	Pronouns/Interrogatives 	178
DCC179	lilaLemma:113605	nēmō 	no one (gen. nūllīus, dat. nūllī, abl. nūllō or nūllā → nūllus -a -um) 	Pronoun 	Pronouns/Interrogatives 	179
DCC180	lilaLemma:113421	nātūra -ae f. 	nature 	Noun: 1st Declension	Life and Being 	180
DCC181	lilaLemma:112831	mōs mōris m. 	"custom, habit; (pl.) character "	Noun: 3rd Declension	Social Life 	181
DCC182	lilaLemma:91483	beneficium -ī n. 	service, kindness 	Noun: 2nd Declension	Social Life 	182
DCC183	lilaLemma:116348	pectus -oris n. 	chest, breast 	Noun: 3rd Declension	The Body 	183
DCC184	lilaLemma:103260	fidēs -eī f. 	trust, faith 	Noun: 5th Declension	Personality Traits/Characteristics 	184
DCC185	lilaLemma:116222	patior patī passus sum 	permit, endure 	Verb: Deponent 	Verbs of Compelling/Directing 	185
DCC186	lilaLemma:97301	cūra -ae f. 	care, concern 	Noun: 1st Declension	Love 	186
DCC187	lilaLemma:108949	īra irae f. 	wrath, anger 	Noun: 1st Declension	Emotions 	187
DCC188	lilaLemma:131057	verbum -ī n. 	word 	Noun: 2nd Declension	Writing/Poetry 	188
DCC189	lilaLemma:119920	prope 	"near, next; (comp.) propior, (superl.) proximus; (adv.) prope, nearly, almost "	Preposition 	Place 	189
DCC189	lilaLemma:119921	prope 	"near, next; (comp.) propior, (superl.) proximus; (adv.) prope, nearly, almost "	Preposition 	Place 	189
DCC190	lilaLemma:116020	parēns -ntis m./f. 	parent 	Noun: 3rd Declension	The Household 	190
DCC191	lilaLemma:118042	puer puerī m. 	"boy; slave "	Noun: 2nd Declension	People 	191
DCC192	lilaLemma:112848	moveō -ēre mōvī mōtum 	move 	Verb: 2nd Conjugation	Motion 	192
DCC193	lilaLemma:100034	dolor -ōris m. 	pain, grief 	Noun: 3rd Declension	Emotions 	193
DCC194	lilaLemma:104490	gēns gentis f. 	family, clan 	Noun: 3rd Declension	The Household 	194
DCC195	lilaLemma:112553	modus -ī m. 	measure, manner, kind 	Noun: 2nd Declension	Measurement 	195
DCC196	lilaLemma:130088	via -ae f. 	way, street 	Noun: 1st Declension	Travel 	196
DCC197	lilaLemma:121165	quisque quaeque quidque 	each one, everyone 	Pronoun 	Pronouns/Interrogatives 	197
DCC198	lilaLemma:87667	amīcus -a -um 	"friendly; (as subst.) friend "	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics 	198
DCC198	lilaLemma:88684	amīcus -a -um 	"friendly; (as subst.) friend "	Adjective: 1st and 2nd Declension	Personality Traits/Characteristics 	198
DCC199	lilaLemma:117499	pēs pedis m. 	foot 	Noun: 3rd Declension	The Body 	199
DCC200	lilaLemma:106532	imperium -ī n. 	command, power 	Noun: 2nd Declension	War and Peace 	200
DCC201	lilaLemma:109621	labor -ōris m. 	toil, exertion 	Noun: 3rd Declension	Business/Money 	201
DCC202	lilaLemma:107799	ingēns ingentis 	huge, enormous 	Adjective: 3rd Declension	Measurement 	202
DCC203	lilaLemma:127592	tālis tāle 	such 	Adjective: 3rd Declension	Measurement 	203
DCC204	lilaLemma:116130	parum 	too little 	Adverb 	Measurement 	204
DCC205	lilaLemma:89686	apud 	near, in the presence of (+acc.) 	Preposition 	Place 	205
DCC206	lilaLemma:114716	oculus -ī m. 	eye 	Noun: 2nd Declension	The Body 	206
DCC207	lilaLemma:130599	unda -ae f. 	wave, flowing water, water 	Noun: 1st Declension	Earth and Water 	207
DCC208	lilaLemma:109129	itaque 	and so, therefore 	Conjunction 	Conjunctions/Adverbs 	208
DCC209	lilaLemma:131009	vultus -ūs m. 	look, expression, face 	Noun: 4th Declension	The Body 	209
DCC210	lilaLemma:92179	cadō cadere cecidī cāsum 	fall, be killed 	Verb: 3rd Conjugation -ō	Violence 	210
DCC211	lilaLemma:113505	nātus -ī m. 	son 	Noun: 2nd Declension	The Household 	211
